,ISO3 country code,Official UNHCR country name
1,AFG,Afghanistan
2,ALB,Albania
3,DZA,Algeria
4,AGO,Angola
5,ATG,Antigua and Barbuda
6,ARG,Argentina
7,ARM,Armenia
8,ABW,Aruba
9,AUS,Australia
10,AUT,Austria
11,AZE,Azerbaijan
12,BHS,Bahamas
13,BHR,Bahrain
14,BGD,Bangladesh
15,BRB,Barbados
16,BLR,Belarus
17,BEL,Belgium
18,BLZ,Belize
19,BEN,Benin
20,BTN,Bhutan
21,BOL,Bolivia (Plurinational State of)
22,ANT,Bonaire
23,BIH,Bosnia and Herzegovina
24,BWA,Botswana
25,BRA,Brazil
26,VGB,British Virgin Islands
27,BRN,Brunei Darussalam
28,BGR,Bulgaria
29,BFA,Burkina Faso
30,BDI,Burundi
31,CPV,Cabo Verde
32,KHM,Cambodia
33,CMR,Cameroon
34,CAN,Canada
35,CYM,Cayman Islands
36,CAF,Central African Rep.
37,TCD,Chad
38,CHL,Chile
39,CHN,China
40,HKG,"China, Hong Kong SAR"
41,MAC,"China, Macao SAR"
42,COL,Colombia
43,COM,Comoros
44,COG,Congo
45,CRI,Costa Rica
46,HRV,Croatia
47,CUB,Cuba
48,ANT,Curaçao
49,CYP,Cyprus
50,CZE,Czech Rep.
51,CIV,Côte d'Ivoire
52,COD,Dem. Rep. of the Congo
53,DNK,Denmark
54,DJI,Djibouti
55,DOM,Dominican Rep.
56,ECU,Ecuador
57,EGY,Egypt
58,SLV,El Salvador
59,GNQ,Equatorial Guinea
60,ERI,Eritrea
61,EST,Estonia
62,ETH,Ethiopia
63,FJI,Fiji
64,FIN,Finland
65,FRA,France
66,GUF,French Guiana
67,GAB,Gabon
68,GMB,Gambia
69,GEO,Georgia
70,DEU,Germany
71,GHA,Ghana
72,GRC,Greece
73,GRD,Grenada
74,GTM,Guatemala
75,GIN,Guinea
76,GNB,Guinea-Bissau
77,GUY,Guyana
78,HTI,Haiti
79,HND,Honduras
80,HUN,Hungary
81,ISL,Iceland
82,IND,India
83,IDN,Indonesia
84,IRN,Iran (Islamic Rep. of)
85,IRQ,Iraq
86,IRL,Ireland
87,ISR,Israel
88,ITA,Italy
89,JAM,Jamaica
90,JPN,Japan
91,JOR,Jordan
92,KAZ,Kazakhstan
93,KEN,Kenya
94,KWT,Kuwait
95,KGZ,Kyrgyzstan
96,LAO,Lao People's Dem. Rep.
97,LVA,Latvia
98,LBN,Lebanon
99,LSO,Lesotho
100,LBR,Liberia
101,LBY,Libya
102,LIE,Liechtenstein
103,LTU,Lithuania
104,LUX,Luxembourg
105,MDG,Madagascar
106,MWI,Malawi
107,MYS,Malaysia
108,MLI,Mali
109,MLT,Malta
110,MRT,Mauritania
111,MUS,Mauritius
112,MEX,Mexico
113,FSM,Micronesia (Federated States of)
114,MCO,Monaco
115,MNG,Mongolia
116,MNE,Montenegro
117,MSR,Montserrat
118,MAR,Morocco
119,MOZ,Mozambique
120,MMR,Myanmar
121,NAM,Namibia
122,NRU,Nauru
123,NPL,Nepal
124,NLD,Netherlands
125,NZL,New Zealand
126,NIC,Nicaragua
127,NER,Niger
128,NGA,Nigeria
129,NOR,Norway
130,OMN,Oman
131,PAK,Pakistan
132,PLW,Palau
133,PAN,Panama
134,PNG,Papua New Guinea
135,PRY,Paraguay
136,PER,Peru
137,PHL,Philippines
138,POL,Poland
139,PRT,Portugal
140,QAT,Qatar
141,KOR,Rep. of Korea
142,MDA,Rep. of Moldova
143,ROU,Romania
144,RUS,Russian Federation
145,RWA,Rwanda
146,KNA,Saint Kitts and Nevis
147,LCA,Saint Lucia
148,VCT,Saint Vincent and the Grenadines
149,SAU,Saudi Arabia
150,SEN,Senegal
151,SRB,Serbia and Kosovo (S/RES/1244 (1999))
152,SLE,Sierra Leone
153,SGP,Singapore
154,SVK,Slovakia
155,SVN,Slovenia
156,SLB,Solomon Islands
157,SOM,Somalia
158,ZAF,South Africa
159,SSD,South Sudan
160,ESP,Spain
161,LKA,Sri Lanka
162,PSE,State of Palestine
163,SDN,Sudan
164,SUR,Suriname
165,SWZ,Swaziland
166,SWE,Sweden
167,CHE,Switzerland
168,SYR,Syrian Arab Rep.
169,TJK,Tajikistan
170,THA,Thailand
171,MKD,The former Yugoslav Republic of Macedonia
172,TLS,Timor-Leste
173,TGO,Togo
174,TON,Tonga
175,TTO,Trinidad and Tobago
176,TUN,Tunisia
177,TUR,Turkey
178,TKM,Turkmenistan
179,TCA,Turks and Caicos Islands
180,UGA,Uganda
181,UKR,Ukraine
182,ARE,United Arab Emirates
183,GBR,United Kingdom
184,TZA,United Rep. of Tanzania
185,USA,United States of America
186,URY,Uruguay
187,UZB,Uzbekistan
188,VUT,Vanuatu
189,VEN,Venezuela (Bolivarian Republic of)
190,VNM,Viet Nam
191,YEM,Yemen
192,ZMB,Zambia
193,ZWE,Zimbabwe
